ConvThread,MessageID,Date,Message,UserID
0,158529,2024-01-06,"От все їм не так-- от же ж не бруківка, от дрони, а як іще їм )))

Поруч табличка ""товстеленний сарказм"" ;...((",405203568
1,157550,2024-01-04,Мощний підпал! Ледь цілий аеродром не згорів),603796556
1,157554,2024-01-04,"Покажіть клас, - підпаліть краще",502083401
1,157555,2024-01-04,"Це сарказм!) 
А насправді крута робота в тилу ворога! Молодці!",603796556
2,155337,2023-12-30,"Так все правильно, наші б'ють виключно по військовим цілям!!! А всі жертви від їхнього ПВО!
Хотілось якийсь сарказм видати, але згадала як вони свої ж літаки приземлили...",811156520
3,155248,2023-12-30,"Але ж на кораблі теж були чиїсь дітки. 74 мальчіка, не виключено що навіть в трусіках😬",411451179
3,155251,2023-12-30,"Вони пішли воювати, а діти в белгороді не воюють...",404293200
3,155253,2023-12-30,"А раптом вони везли не шахеди з калібрами, а варєньє з баранками (яка ж дебільна назва бубликів)? (в цьому реченні є сарказм) Всі росіяни, які платять податки і нічого не роблять щоб зупинити російську агресію роблять внесок у вбивства наших людей. На жаль це так працює.",411451179
4,154608,2023-12-29,Неправда ваша! Побожні галичани нізащо б не наживалися на військових (сарказм),965927951
5,154469,2023-12-29,Це ескалація!!!,400832096
5,154485,2023-12-29,Хуєрація!,1986814519
5,154526,2023-12-29,Таке поняття як сарказм вам відоме?,400832096
6,153600,2023-12-27,Виходить вони їх тільки у себе в офісі використовували [сарказм],483464554
7,151420,2023-12-21,"Оце іронія, оце іронія 👌🤌😆 навіть сарказм… я сподіваюсь 😳",582310398
8,151030,2023-12-21,Брєд якийсь кажете))),287715831
8,151037,2023-12-21,То в чому сумніви? Пишіть,1363242235
8,151040,2023-12-21,Це сарказм),287715831
9,150087,2023-12-19,"Там дуже глибока проблема з мирним населенням. Бо важко знайти мирних. Це приблизно як пошуки хароших рускіх.
Поясню трохи з того, що бачила по Палестині.
Хамас це фактично керівництво Гази. Більшість, або навіть вся допомога від інших країн  проходить саме через них. Для того, щоб підняти свій статус в суспільстві, отримати блага абощо, палестинець може, наприклад, вбити єврея. Це вважається почьотним. 
Ідеологія ""вбити всіх євреїв"" транслюється відкрито в локальних смі.  Вбивається в голови з дитсадочків. Буквально. Є дитячі шоу по тб, де аніматори в костюмах тваринок розповідають дуже милими голосами щось типу ""а скільки євреїв ми повинні вбити?"" Дитина відповідає умовній бджілці - ""Всіх!"" і бджілка радісно жужжить - ""правильно! молодець!""
Ну, короче, жах. Ми трішечки можемо зрозуміти важкість роботи з таким мирним, (або навіть ""мирним""🤔) населенням, зтикаючись з якимись колишніми друзями чи рідними, яким рашка промила мізки за 8лєт. А там це з дитинства..
Карочє, дуже дуже складно. 

А Ізраїль ""такий поганий"" що давав їм роботу, труби, (з яких робилась зброя) тощо. 

Якщо простіше - вони, хамас, газа, напали перші, вбили купу мирних ізраїльтян, відрізАли голови дітям не жаліючи, раділи і знімали на відео.  Ізраїль повинен захищатись, інакше припинить існування. Як і Україна захищається від рашки, бо винищать",432440376
9,150103,2023-12-20,"Ізраїль сам створив ці проблеми.
У всього є свої причини та наслідки.
Раджу погуглити: режим апартеїду в Ізраїлі",651344749
9,150116,2023-12-20,"Жертва сама винна в нападі. Точно. 
Ізраїльтяни прям винудили палестинців вбивати дітей і мирних. Вірю.
*максимальний сарказм*

Це бляха як росіяни виправдовують напад на нас, ""Україна сама винна""",432440376
10,149404,2023-12-18,"«Цікаво, до чого готується Цукерберг?» курсивом, бо це – сарказм? Якщо ні, то Даґлас Рашкоф про це писав у Survival of the Richest.",72454118
11,146721,2023-12-12,Чого я маю його боятись?не я ж незаконні схеми мучу а би нагребстись грошей і  нелегально з'ліняти,545474237
11,146724,2023-12-12,То був сарказм ),2105106333
11,146725,2023-12-12,"Не зрозуміла😅 ви хоч смайли ставте)вже подумала що мені відповідає якісь дуже віруючи люди,а враховуючи те як у ТВі з руснею сруся і вони без сарказму маразми пишуть,то вже не очікую чогось нормального на відповіді)",545474237
12,146613,2023-12-12,"Ви що ,то побійтесь Бога",2105106333
12,146721,2023-12-12,Чого я маю його боятись?не я ж незаконні схеми мучу а би нагребстись грошей і  нелегально з'ліняти,545474237
12,146724,2023-12-12,То був сарказм ),2105106333
13,145771,2023-12-11,"О ні, люди, тихенько тут в коментах бо мачо зараз нам розкаже про правила на зоні в гуртожитку. Ви ж не хочете провинитися?!
Чуєш, клоун, гуртожиток це звісно не як вдома, але і в зону з ""понятіямі"" теж перетворювати не треба. Якщо бидло поводиться як бидло, їм не місце там.",1138945111
13,145775,2023-12-11,"та який мачо? якийсь лошок, скоріш за все його принижували всі кому не ліньки було, от воно і пише про якісь ""неписані правила"".
не здивуюсь якщо воно ще й руснявий серіал про гопоту дивиться",387079345
13,145776,2023-12-11,"Це був сарказм, очевидно же...",1138945111
14,142515,2023-12-04,"Бо вони були язичниками, а ще колись люди голі ходили і в печерах жили, але потім їм явився Пьотр 1 і пошив одяг. Тому навіть не думайте одягатись, коли на вулицю виходите, бо це все рос. пропаганда.",706764194
14,142516,2023-12-04,такий собі сарказм,930000824
14,142518,2023-12-04,"Українці були язичниками, тому святкували навесні Новий рік, це не сарказм.",706764194
15,142512,2023-12-04,наші предки слов'яни святкували Новий рік на весні (коли прокидається від сну земля). Їм і в голову  б не прийшло рубати дерево і водити хороводи навколо зрубаного (тобі ж мертвого) дерева/йолки/сосни.,930000824
15,142515,2023-12-04,"Бо вони були язичниками, а ще колись люди голі ходили і в печерах жили, але потім їм явився Пьотр 1 і пошив одяг. Тому навіть не думайте одягатись, коли на вулицю виходите, бо це все рос. пропаганда.",706764194
15,142516,2023-12-04,такий собі сарказм,930000824
16,141801,2023-12-02,"Всі хто проти зеленського - порохоботи.  Не існує ні війни, ні проблем в країні, ні корупції, ні узурпації влади єрмаком, а тільки зеленський та прокляті порохоботи, які винні у всьому (навіть у Великому Вибуху) та полюбому за одно із кремлем та архіпутіном 😂",228716502
16,141817,2023-12-02,"Це якісь наїзд на мене чи просто так? Я ж ні де не говорив хто я,для мене найбільший ворог після росіян це Татаров-Єрмак та пов'язані з ним люди.",964439441
16,141818,2023-12-02,"Ні пане, це сарказм. Аналогічна ситуація із татаровим-єрмаком. Ті потвори кажуть що всі хто їх критикує то порохоботи",228716502
17,141744,2023-12-02,"Ну все, не дали Порошенку з Орбаном зустрітися, тепер, пишуть, що Угорщина вже не пускає фури, що розвернулися зі Словаччини і хотіли їхати через Угорщину. Шах і мат, зелебоби 🐸, кому гірше від цього зробили, простим українцям. 
Сарказм, якщо шо, але якщо серйозно то якась мутна тема з забороною на виїзд, що явно має політичний запах 💩",1218417005
18,140730,2023-11-30,яка несподіванка (сарказм),346504002
19,138744,2023-11-24,Це чудово! Без сарказму! Бо не має сил на цих ''любітєлєй вілікага пампушкіна'',466866602
20,134753,2023-11-15,А що російськомовні українці їх вбивають вони не пишуть? А що ж так? Цю ж інформацію наче ніхто не приховує.,668925216
20,134756,2023-11-15,"Оксана, перефразуйте. Абсолютно не розумію в чому ваше питання.",833287683
20,134763,2023-11-15,"Мій коментар стосувався останньої репліки у вашому ж коментарі. Якщо ви не зрозуміли до чого був мій сарказм, то і нехай.",668925216
21,131901,2023-11-09,Просто ви може не до кінця розумієте яке токсичне середовище цей футбол.,462161629
21,131902,2023-11-09,"Безумовно, ця жінка нічого не розуміє, і я теж. Вона все дитинство і юність жила у казці. Чи, думаєте, жіночий футбол менш токсичний ?",478106645
21,131904,2023-11-09,"тицпєрдиц.
Ну тоді чого сарказм такий, раз ви все розумієте?",462161629
22,131687,2023-11-09,"ну да збс у нас економічний підйом же, зараз всі Українці стали багатші і мають можливість перейти на платні сервіси. Сарказм. До війни передплачував NETFLIX та Deezer. Тепер відмовився від цього і багато іншого на користь донатів на ЗСУ.

довбойоби🤦‍♂️🤦‍♂️🤦‍♂️",327049203
23,130989,2023-11-08,"В якому сенсі? Корони не існує, то рептілоїди вигадали

Так що померти під вентиляцією легенів неможливо",312138827
23,130996,2023-11-08,"Дебіл, мабуть,  в тебе ніхто з рідних так не помер",2043501275
23,131055,2023-11-08,це був сарказм,237922005
24,130989,2023-11-08,"В якому сенсі? Корони не існує, то рептілоїди вигадали

Так що померти під вентиляцією легенів неможливо",312138827
24,130996,2023-11-08,"Дебіл, мабуть,  в тебе ніхто з рідних так не помер",2043501275
24,131001,2023-11-08,Це сарказм у нього такий,596128398
25,130075,2023-11-06,,409784082
26,130073,2023-11-06,"Ок, у такі часи просто складно відрізнити сарказм, так що соррі",615145528
27,130064,2023-11-06,,409784082
28,128993,2023-11-04,Божечку чому в нас корупціонери такі дебіли 🤦,1292717707
28,128996,2023-11-04,"Ахаха, якраз таки навпаки - чому ми, громадяни, такі дебіли, не виносимо н#хуй їхні доісторичні печери, не πздимо їх в темних під'їздах, не розносимо і шантажуємо їхніх виблядків-рідню. Вони - красавчики (на їхню думку), ми - соціальні і політичні імпотенти.",387056569
28,129002,2023-11-04,"Є таке прислів'я - бити людей не можна, залишається сарказм ... Але ідеї вігілантизму мені близькі ... Однак це дійсно має бути ювелірно - темні під'їзди, зіпсоване майно виникнення якого такі люди не можуть пояснити чи не вносять у декларації, кенселінг з боку суспільства...

Свого часу дивувався (десь в 2017-18 роках) чому така істота як дубінський - спокійно купляє каву, ходить в магазини, відвідує кафе і спортзали... Окей - складно кенселитт коли ти сам там працюєш і таке бидло - твій клієнт, я це розумію, але чому інший відвідувач не харкне йому у каву, не штовхне чи обільє ""випадково"" і т.д. 

Колись у крутому ТЦ зустрів юру мірошнічєнка - екс-рєгіанала який плакав по Небесній сотні... Сказав йому кілька речень, так без матів і погроз - але вечір Юрі було зіпсовано що було видно по його обличчю і обличчю його елітної шмари",923826077
29,128160,2023-11-02,,1671286352
30,128150,2023-11-02,,361218103
31,128097,2023-11-02,"Ого як швидко СБУ працює

(сарказм)",361218103
32,126312,2023-10-29,Несподівано … (сарказм),418425092
33,126245,2023-10-28,Без Bihus не могли розібратися*? Сарказм. Дякую команді Bihus,369875008
34,124338,2023-10-25,"За велодоріжки відповідає місцева влада. А тут претензії саме до УЗ. Бо жіночі купе - це піар, а спецвагони для людей з велосипедами дійсно потрібні.",1408223358
34,124367,2023-10-25,"Погоджуюсь з усіма, окрім «піару». Це попит. Є попит - ось пропозиція. 
Думаю, якщо велосипедисти масово дадуть знати про свої проблеми/потреби, як це зробили жінки, вірю, що у майбутньому дочекаємось і на вирішення питання з велосипедами.",34447764
34,124382,2023-10-25,"Була вже навіть петиція на цю тему. Але звісно, жіночі купе користуються більшим попитом (сарказм).",1408223358
35,120087,2023-10-13,"То був сарказм) так, на всякий випадок...",554026648
36,118127,2023-10-09,"це був сарказм, вкінці речення - )",511096586
37,117648,2023-10-08,Сарказм чи було таке?,179960503
38,116627,2023-10-07,"ти ідіот? (насправді я ідіот, бо мені було не очевидно)",125652146
38,116629,2023-10-07,Зараз виправлю,462161629
38,116632,2023-10-07,"тепер я думаю, це був сарказм, чи ні?",125652146
39,116620,2023-10-07,"Як хуйово шо США нам нічого не дають. 

Сарказм, бо комусь не очевидно*",462161629
40,116379,2023-10-07,"Треба ж домовлятися, для чого вони б'ють у відповідь 😱потрібні мирні переговори",534391368
40,116421,2023-10-07,А що ж ми не йдем на переговори з пуйлом?,332127013
40,116429,2023-10-07,Ніби ж очевидно що це був сарказм,534391368
41,112066,2023-09-26,Сподіваюсь це сарказм.,1052166824
42,111633,2023-09-26,6-7 дітей за два роки? Ок,5879771985
42,111717,2023-09-26,"6-7 дітей за 2 роки, це що жінка-кішка?",433323400
42,111767,2023-09-26,Це був сарказм :(,5879771985
43,111484,2023-09-25,"Серйозно? Треба ж, як неочікувано (сарказм), яка нова інформація",398918830
44,108975,2023-09-20,"Бо не можна мстить, повинні ми любити
Усіх нєбєнзь, злодіїв, убивць. 
Бо кожен з них - народ, всі баганосці.",415429242
44,108977,2023-09-20,Це ж жарт?,727331128
44,108980,2023-09-20,"це Лесь, в даному контексті - сарказм",69030344
45,108541,2023-09-20,"Де ми хочемо- це одне, а реальність така, що добровольців дуже мало, а воювати треба. Я не виправдовую дії воєнкомів, але носитися з ухилянтами, як з груднічками ніхто не буде. В кожного свої задачі. Де вони мають брати людей якщо всі повтікали? А якщо не буде кому воювати, то що тоді? Здаватися? 
Щоб не порушувати верховенство права?",483218614
45,108595,2023-09-20,Пані з окопу пише?,938972310
45,108636,2023-09-20,Недоречний сарказм. В окопі мій чоловік і старший син.,483218614
46,108612,2023-09-20,"який сенс нам знати, що чмобіки, що звільнились будь-де у світі, потенційно можуть потрапити на українсько-російський фронт?
Це просто флуд. Не варто вам намагатись оцінити мої когнітивні можливості. Ви хотіли, але у вас не вийшло.",366738642
46,108613,2023-09-20,Якраз нам потрібно знати чи збільшилась кількість чмобіків .флуд чи не флуд не вам судити. А по цьому останьому висеру про ваші розумові здібності я вже оцінку зробив. Повірте вона не позитивна. Тому попрошу перестати мені написувати ваші тупі повідомлення або змушенуй буду вас заблокувати для себе,678233014
46,108615,2023-09-20,"вам треба зберігати інформаційну тишу і допомагати армії та співгромадянам, які цього потребують і яким ви реально можете допомогти. Це все, що від вас вимагається.
Зради від вас нікому не треба, бо окрім того, шо ви розповсюджуєте інформацію, яка лише потенційно може мати якесь підґрунтя, а люди, які читають це, можуть зреагувати на емоціях. Ви поводитесь як арестович на мінімалках. Тільки той маніпулятор заробляє на своїх висерах, а ви безкоштовно мелете фігню.
Ще й сарказму не розумієте.
Попрацюйте підіть може, чи шо?",366738642
47,107861,2023-09-19,Я вас підарасів за вєрсту чую!,424995338
47,108138,2023-09-19,"Боже, який же феєричний довбойоб...
Ти же просто ніфіга не знаєш в цьому питанні, ні про С300, ні як ракети літають, ні які ракети залишають воронки, нічого. І щось з піною у рота доводиш що всі боти і кацапи а ти білий лицар.
Ти ж такий самий, як і орки, які цитують соловйова.
0 своїх думок, тупо повторення пропаганди і все.
ПС: не повірите, звичайно винна рашка. Офк вона винна і в тому випадку, якщо це нещасний випадок і це таки українська ракета.
Так само як і рашка винна в смерті двох поляків через українську ракету.",320970922
47,108185,2023-09-19,"Довбойоб це ти, якщо не зрозумів що це був сарказм, бо їбанати зверху писали що це харм, бук і ще якась хуйня",424995338
48,102393,2023-09-09,"Обожнюю дописи з позитивними та негативними новинами водночас, адже стає зрозумілим, що користувачі, які поставили ❤️ - русофіли, бо підтримують заклик Ердогана, а користувачі, які поставили 😡 - расисти, бо проти того, що Індія змінила назву, а Африканський союз став постійним членом G20...",474727790
48,102406,2023-09-09,"А чому ви вирішили, що люди поставили 😡 саме під ту новину, що вам захотілось? Може вони так виразили своє відношення до Ердогана і його закликів піти на поступки парашці?",5251464538
48,102407,2023-09-09,"Це сарказм! Я мав на увазі, що емодзі під дописами з позитивними та негативними новинами дуже не однозначні...",474727790
49,101351,2023-09-07,"То був сарказм, пане.",467660602
50,97496,2023-09-01,"Є така шткука на світі, тролінгом називається",1867768513
50,100385,2023-09-06,"Тролінг як глузування, чи як знущання? Бо якщо ви використовували тролінг як глузування то якраз ваша спроба викликає фейспалм. А якщо як знущання, то це взагалі недоречно і тупо.",668925216
50,100411,2023-09-06,"Чітко бачу що дехто не розуміє сарказму. В природі немає прямих ліній. В данному контексті на плитці лишилися сліди літер з яких було складено слово. Гляньте що було там написано. Літери прибрали, як і ідею того що несло те слово але з самого початку незалежності те гівно так і не пішло з наших країв. Тому ніби і немає а по факту є в вигляді тих хто чекає русню",1867768513
51,99615,2023-09-05,"Жеваго не віддає Франція, бо він в них купив готель за 38 лямів",362653378
51,99633,2023-09-05,Так його хіба з готелем екстрадувати хочуть? Най собі той готель лишається 🤣,266181582
51,99695,2023-09-05,"Офіційна причина: ой там війна, суди погано працюють. 
Це просто приклад країни без корупції яка допамагає Україні боротися з нею ж. /сарказм)",362653378
52,97151,2023-08-31,"Ну чоловік був пʼяний, як ніяк помʼякшувальна обставина (жарт)",331047425
52,97154,2023-08-31,"До речі, так. Поліцейський ще тверезий був. То взагалі.жах Тверезий з пістолетом на бухого з голими кулаками.",1886275248
52,97160,2023-08-31,Це сарказм?)),331047425
53,96624,2023-08-31,Поважати себе і звільнитись,374263208
